Title,Address,Description,Link,Opening Hours,Contact Number,Features
Climb Central (i12 Katong),"i12 Katong 112 East Coast Road, #04-01/02 Singapore 428802","Opening Hours: Mon-Fri 1pm-8pm; Sat-Sun 9am-9pm
Contact No.: +65 6990 0702

Top Rope Wall
Auto Belay",More details,Opening Hours: Mon-Fri 1pm-8pm; Sat-Sun 9am-9pm,Contact No.: +65 6990 0702,; Top Rope Wall; Auto Belay
Climb Central (Kallang Wave Mall),"#B1-01 Kallang Wave Mall, 1 Stadium Pl, Singapore 397718","Opening Hours: Mon-Fri 11am-11pm; Sat-Sun 9am-9pm
Contact No.: +65 6702 7972

Top/Lead Wall
Bouldering Wall
Auto Belay",More details,Opening Hours: Mon-Fri 11am-11pm; Sat-Sun 9am-9pm,Contact No.: +65 6702 7972,; Top/Lead Wall; Bouldering Wall; Auto Belay
Climb Central (Novena Square),"#03-23 Novena Square, 238 Thomson Road, Singapore 307683","Opening Hours: Mon-Fri 11am-11pm; Sat-Sun 9am-9pm
Contact No.: +65 6353 6885

Top Rope Wall
Bouldering Wall
Auto Belay",More details,Opening Hours: Mon-Fri 11am-11pm; Sat-Sun 9am-9pm,Contact No.: +65 6353 6885,; Top Rope Wall; Bouldering Wall; Auto Belay
Climb Central SAFRA Choa Chu Kang,"28 Choa Chu Kang Dr, Singapore 689964","Opening Hours: Mon-Fri 11am-11pm; Sat-Sun 9am-9pm
Contact No.: +65 6677 8452

Top Rope
Lead Wall
Speed Wall
Bouldering Wall",More details,Opening Hours: Mon-Fri 11am-11pm; Sat-Sun 9am-9pm,Contact No.: +65 6677 8452,; Top Rope; Lead Wall; Speed Wall; Bouldering Wall
Climb@T3,"Airport Boulevard, Changi Airport Terminal 3, #B3-01/02, Singapore 819663","Kids/Youth Gym

Opening Hours: Mon-Fri 12pm-09.30pm; Sat-Sun 10am-09.30pm
Contact No.: +65 8923 3831",More details,Opening Hours: Mon-Fri 12pm-09.30pm; Sat-Sun 10am-09.30pm,Contact No.: +65 8923 3831,Kids/Youth Gym; 
Climba Gym,"61 Robinson Road, Singapore","Opening Hours: Mon-Fri 11am-10pm ; Sat/PH 10am-6pm ; Sun 10am-pm
Contact No.: +65 8040 6534

Bouldering Wall",More details,Opening Hours: Mon-Fri 11am-10pm ; Sat/PH 10am-6pm ; Sun 10am-pm,Contact No.: +65 8040 6534,; Bouldering Wall
Fit Bloc (Depot Heights),"108 Depot Rd, #02-01, Singapore 100108","Opening Hours: Daily 10am-10.30pm 
Contact No.: +65 6612 2046

Bouldering Wall",More details,Opening Hours: Daily 10am-10.30pm,Contact No.: +65 6612 2046,; Bouldering Wall
Fit Bloc (Kent Ridge),"#03-02The Oasis, 87 Science Park Dr, Singapore 118260","Opening Hours: Daily 9.30am-10.30pm 
Contact No.: +65 6612 2046

Bouldering Wall
MoonBoard
Gymnasium
Swimming pool",More details,Opening Hours: Daily 9.30am-10.30pm,Contact No.: +65 6612 2046,; Bouldering Wall; MoonBoard; Gymnasium; Swimming pool
Ground Up Climbing,"Level 2, Civil Service Club, 60 Tessensohn Road, 217664","Opening Hours: Mon 5pm-11pm; Tues-Fri 12pm-11pm; Sat-Sun 10am-9pm
Contact No.: +65 6292 7701

Top Rope Wall
Lead Wall (Outdoor)
Boudering Wall
Auto Belay",More details,Opening Hours: Mon 5pm-11pm; Tues-Fri 12pm-11pm; Sat-Sun 10am-9pm,Contact No.: +65 6292 7701,; Top Rope Wall; Lead Wall (Outdoor); Boudering Wall; Auto Belay
Kinetics Climbing,"511 Serangoon Rd, Singapore 218153","Opening Hours: Mon 4pm-10pm; Tues-Fri 1pm-10pm; Sat-Sun 10am-7pm
Contact No.: +65 6291 5045

Top Rope Wall
Bouldering Wall",More details,Opening Hours: Mon 4pm-10pm; Tues-Fri 1pm-10pm; Sat-Sun 10am-7pm,Contact No.: +65 6291 5045,; Top Rope Wall; Bouldering Wall
Lighthouse Climbing,"Block B-02, 44 Pasir Panjang Road, Singapore 118504","Opening Hours: Mon-Fri 9.30am-10.15pm; Sat-Sun 9.30am-9.15pm
Contact No.: +65 9724 4091

Bouldering Wall
Kilter Board (Adjustable)
Tension Board (Adjustable)
Train to Climb Coordination Wall",More details,Opening Hours: Mon-Fri 9.30am-10.15pm; Sat-Sun 9.30am-9.15pm,Contact No.: +65 9724 4091,; Bouldering Wall; Kilter Board (Adjustable); Tension Board (Adjustable); Train to Climb Coordination Wall
My Little Climbing Room,"#B1-101 Promenade @ Pelikat, 183 Jalan Pelikat, Singapore 537643","Kids/Youth Gym

Opening Hours: Mon-Wed Closed; Thurs-Fri 2pm-7.30pm; Sat-Sun 10am-7.30pm
Contact No.: +65 8774 2883

Top Rope Wall
Bouldering Wall",More details,Opening Hours: Mon-Wed Closed; Thurs-Fri 2pm-7.30pm; Sat-Sun 10am-7.30pm,Contact No.: +65 8774 2883,Kids/Youth Gym; ; ; Top Rope Wall; Bouldering Wall
Outpost Climbing,"464 Crawford Lane, Singapore","Opening Hours: Mon,Wed-Fri 2-10pm ; Tue 5-10pm ; Sat-Sun 9.30am-9pm
Contact No.: +659832 7656

Top/Lead Wall
Bouldering Wall
Climbing Theme Park*
*charge separately",More details,"Opening Hours: Mon,Wed-Fri 2-10pm ; Tue 5-10pm ; Sat-Sun 9.30am-9pm",Contact No.: +659832 7656,; Top/Lead Wall; Bouldering Wall; Climbing Theme Park*; *charge separately
OYEYO Bouldering Home,"148 Mackenzie Rd, Singapore 228724","Opening Hours: Mon-Fri 1pm-11pm; Sat-Sun 10am-9pm

Bouldering Wall",More details,Opening Hours: Mon-Fri 1pm-11pm; Sat-Sun 10am-9pm,,; Bouldering Wall
Passion Wave (Pasir Ris),"125 Elias Rd, Singapore 519926","Opening Hours: Verifying Details
Contact No.: +65 6582 4796

Top Rope Wall
Lead Wall",More details,Opening Hours: Verifying Details,Contact No.: +65 6582 4796,; Top Rope Wall; Lead Wall
Project Send,8 RAFFLES AVENUE #02-29 ESPLANADE MALL SINGAPORE (039802),"Opening Hours: Mon-Thu 10.30am-1.30am; Fri-Sat 6.30am-9.30pm; Sun Closed
Contact No.: +65 8748 4998

Bouldering Wall
Fitness Gym",,Opening Hours: Mon-Thu 10.30am-1.30am; Fri-Sat 6.30am-9.30pm; Sun Closed,Contact No.: +65 8748 4998,; Bouldering Wall; Fitness Gym
SAFRA Yishun Adventure Sports Centre,"SAFRA Yishun, 60 Yishun Avenue 4, Singapore 769027","Opening Hours: Mon-Thurs Closed (by Appointment Only); Friday 1pm-10pm; Sat-Sun 9am-6pm
Contact No.: TBD

Top/Lead Wall (15m Outdoor) (18m/25m Outdoor wall reopening late Q3 2024)
Bouldering Wall (Closed till further notice)",More details,Opening Hours: Mon-Thurs Closed (by Appointment Only); Friday 1pm-10pm; Sat-Sun 9am-6pm,Contact No.: TBD,; Top/Lead Wall (15m Outdoor) (18m/25m Outdoor wall reopening late Q3 2024); Bouldering Wall (Closed till further notice)
The Cliff @ SnowCity,"Snow City, 21 Jurong Town Hall Rd, Singapore 609433","Opening Hours: Sat-Sun 10am-6pm
Contact No.: +65 6560 2037 

Top/Lead Wall (Outdoor)
Speed Wall (Outdoor)",More details,Opening Hours: Sat-Sun 10am-6pm,Contact No.: +65 6560 2037,; Top/Lead Wall (Outdoor); Speed Wall (Outdoor)
UpWall Climbing,"#01-105, E!Hub@Downtown East, 1 Pasir Ris Close, Singapore 519599","Opening Hours: Mon-Fri 10am-10pm; Sat-Sun 9am-9pm
Contact No.: +65 8028 7028

Top Rope Wall
Auto Belay",More details,Opening Hours: Mon-Fri 10am-10pm; Sat-Sun 9am-9pm,Contact No.: +65 8028 7028,; Top Rope Wall; Auto Belay
Verticlimb,"200 Pandan Gardens, Singapore","Kids/Youth Gym (By Appointment Only)

Opening Hours: Sat-Sun 9am-7pm (By Appointment Only)
Contact No.: +65 8779 3464

Top Rope Wall

See gym website for more details",More details,Opening Hours: Sat-Sun 9am-7pm (By Appointment Only),Contact No.: +65 8779 3464,Kids/Youth Gym (By Appointment Only); ; ; Top Rope Wall; ; See gym website for more details
Z-Vertigo Boulder Gym,"#B2-20B, Bukit Timah Shopping Centre, 170 Upper Bukit Timah Road, Singapore 588179","Opening Hours: Mon-Thu 11.30pm-10pm, Fri 3pm-10pm, Sat-Sun 10am-8.30pm
Contact No.: No contact

Bouldering Wall",More details,"Opening Hours: Mon-Thu 11.30pm-10pm, Fri 3pm-10pm, Sat-Sun 10am-8.30pm",Contact No.: No contact,; Bouldering Wall
